Brand,Competitor Brand,Brand Type,Type of Competitor,Target Audience,Platform,Ad Format,Duration,Ad Type,Date,Message Theme,Hook Type,Hook Text,Primary Pain Point,Emotional Trigger,Tone,CTA,Landing Page Type
Bebodywise,Bebodywise,D2C,Direct,Women,Instagram,Video,30,UGC,2024-01-15,Community storytelling,Testimonial,Real women sharing their skin journey,Acne,Hope,Friendly,Shop Now,Product Page
Man Matters,Man Matters,Health Tech,Direct,Men,Facebook,Video,15,Explainer,2024-01-10,Educational,Question,Why is your hair falling?,Hair Fall,Fear,Educational,Learn More,Quiz Funnel
Little Joys,Little Joys,D2C,Direct,Women,Instagram,Carousel,,Testimonial,2024-01-12,UGC/testimonial,Testimonial,New moms love our sleep tips,Stress,Aspiration,Friendly,Shop Now,Product Page
Bebodywise,Bebodywise,D2C,Direct,Women,Instagram,Image,,Founder,2024-01-08,doctor-backed authority,Bold Claim,Doctor-approved formula for acne,Acne,Authority,Premium,Buy Now,Product Page
Man Matters,Man Matters,Health Tech,Direct,Men,Facebook,Video,20,Scientific,2024-01-18,Educational,Problem,Struggling with hair fall?,Hair Fall,Fear,Aggressive,Learn More,Offer Page
Little Joys,Little Joys,D2C,Indirect,Women,Instagram,Video,25,UGC,2024-01-05,community storytelling,Testimonial,Join our community of real moms,Stress,Hope,Friendly,Sign Up,Quiz Funnel
Bebodywise,Bebodywise,D2C,Direct,Women,Facebook,Video,10,Explainer,2024-01-20,Educational,Question,How to fix acne in 30 days?,Acne,Hope,Educational,Shop Now,Product Page
Man Matters,Man Matters,Health Tech,Direct,Men,Instagram,Image,,Discount,2024-01-22,discount/offer,Discount,20% off first order – limited time,Hair Fall,Urgency,Aggressive,Buy Now,Offer Page
Little Joys,Little Joys,D2C,Direct,Women,Instagram,Carousel,,Testimonial,2024-01-14,UGC/testimonial,Testimonial,Before & after: sleep improved in 2 weeks,Stress,Hope,Friendly,Learn More,Product Page
Man Matters,Man Matters,Health Tech,Direct,Men,Facebook,Video,45,Scientific,2024-01-25,doctor-backed authority,Bold Claim,Dermatologist explains minoxidil,Hair Fall,Authority,Educational,Learn More,Quiz Funnel
Bebodywise,Bebodywise,D2C,Direct,Women,Instagram,Video,20,UGC,2024-01-28,problem-solution,Problem,Tired of acne? Here's what worked,Acne,Hope,Friendly,Shop Now,Product Page
Little Joys,Little Joys,D2C,Direct,Women,Facebook,Image,,Discount,2024-01-30,discount/offer,Discount,Free shipping on first order,Stress,Urgency,Friendly,Buy Now,Offer Page
